time,closing
2014-04-28,556.96
2014-04-29,556.97
2014-04-30,559.34
2014-05-02,558.66
2014-05-07,550.35
2014-05-08,546.89
2014-05-09,550.19
2014-05-12,551.4
2014-05-13,557.16
2014-05-14,560.3
2014-05-15,561.75
2014-05-16,557.59
2014-05-19,546.81
2014-05-20,542.96
2014-05-21,545.59
2014-05-22,546.75
2014-05-23,549.7
2014-05-26,548.83
2014-05-27,547.97
2014-05-28,549.96
2014-05-29,549.61
2014-05-30,546.53
2014-06-02,535.15
2014-06-03,531.28
2014-06-05,523.12
2014-06-09,524.03
2014-06-10,532.64
2014-06-11,533.3
2014-06-12,536.14
2014-06-13,536.34
2014-06-16,536.02
2014-06-17,537.9
2014-06-18,537.05
2014-06-19,536.79
2014-06-20,536.69
2014-06-23,529.96
2014-06-24,529.49
2014-06-25,527.26
2014-06-26,530.04
2014-06-27,531.43
2014-06-30,537.06
2014-07-01,544.9
2014-07-02,549.03
2014-07-03,550.68
2014-07-04,552.9
2014-07-07,553.15
2014-07-08,554.9
2014-07-09,555.84
2014-07-10,559.32
2014-07-11,556.58
2014-07-14,561.5
2014-07-15,559.15
2014-07-16,555.27
2014-07-17,558.94
2014-07-18,560.26
2014-07-21,561.75
2014-07-22,564.93
2014-07-23,563.14
2014-07-24,559.67
2014-07-25,562.78
2014-07-28,552.98
2014-07-29,541.82
2014-07-30,541.81
2014-07-31,536.32
2014-08-01,541.09
2014-08-04,549.61
2014-08-05,547.75
2014-08-06,548.43
2014-08-07,547.11
2014-08-08,544.24
2014-08-11,546.3
2014-08-12,545.76
2014-08-13,551.73
2014-08-14,558.18
2014-08-18,561.1
2014-08-19,562.66
2014-08-20,561.96
2014-08-21,562.52
2014-08-22,566.35
2014-08-25,564.4
2014-08-26,568.24
2014-08-27,567.23
2014-08-28,570.24
2014-08-29,570.2
2014-09-01,566.95
2014-09-02,568.74
2014-09-03,571.4
2014-09-04,568.9
2014-09-05,572.37
2014-09-11,573.7
2014-09-12,570.65
2014-09-15,565.77
2014-09-16,572.36
2014-09-17,574.98
2014-09-18,576.97
2014-09-19,581.38
2014-09-22,577.35
2014-09-23,575.56
2014-09-24,580.42
2014-09-25,577.48
2014-09-26,577.66
2014-09-29,569.27
2014-09-30,573.22
2014-10-01,566.99
2014-10-02,569.84
2014-10-06,566.27
2014-10-07,562.82
2014-10-08,566.74
2014-10-10,555.95
2014-10-13,534.31
2014-10-14,544.05
2014-10-15,545.51
2014-10-16,545.49
2014-10-17,547.7
2014-10-20,556.01
2014-10-21,557.54
2014-10-22,564.52
2014-10-23,564.31
2014-10-24,560.66
2014-10-27,559.92
2014-10-28,562.29
2014-10-29,561.03
2014-10-30,557.86
2014-10-31,558.7
2014-11-03,552.47
2014-11-04,542.16
2014-11-05,540.27
2014-11-06,531.81
2014-11-07,539.9
2014-11-10,539.22
2014-11-11,545.13
2014-11-12,546.46
2014-11-13,547.7
2014-11-14,541.93
2014-11-17,531.18
2014-11-18,536.2
2014-11-19,540.84
2014-11-20,539.93
2014-11-21,543.98
2014-11-24,541.93
2014-11-25,546.34
2014-11-26,547.34
2014-11-27,545.97
2014-11-28,545.08
2014-12-01,539.45
2014-12-02,541.53
2014-12-03,545.02
2014-12-04,548.16
2014-12-05,550.85
2014-12-08,551.4
2014-12-09,546.57
2014-12-10,541.96
2014-12-11,537.21
2014-12-12,533.67
2014-12-15,538.09
